No,PATWWW/AutoDoc,Orbit,IDFromSource,Title,Company/Institute,Source/Patent No,"Publ.
Date",Category,crop protection,Сomments,Keywords,Abstracts,Patent Asset Index Data,Categories,Justifications
1,KR2022124635,KR2022124635,WPI/2022-B9499U,"Mosquito repellent device comprises first repellent discharge unit for emitting first repellent, and first repellent control unit for controlling release rate of first repellent, namely icaridin",KOREA NAT PARK SERVICE,KR2022124635 A,20220914,,insecticide,,,"KR 2022124635 A
   NOVELTY - Mosquito repellent device (10) comprises a first repellent, and a first repellent discharge unit (100) for emitting the first repellent; and a first repellent control unit (200) for controlling the release rate of first repellent which is icaridin. The mosquito repellent device further comprises a second repellent discharge unit (300) for emitting a second repellent; and a second repellent control unit (400) for controlling the release rate of the second repellent, and has a space to accommodate the second repellent discharge unit disposed inside the second repellent control unit, where the second repellent is lemongrass. The mosquito repellent device further comprises a third repellent discharge unit (500) for emitting third repellent; and a third repellent control unit (600) for controlling release rate of third repellent, and has a space to accommodate third repellent discharge unit disposed inside the third repellent control unit, where the third repellent is vanillin. 
   USE - Used as mosquito repellent device.
   ADVANTAGE - The mosquito repellent device maintains icaridin which is a mosquito-repellent component around the user's body for a long time as it is blocked from external heat or UV rays and can be stably preserved; has excellent continuous volatilization property and excellent mosquito repellent effect; and is easy to carry and use since the mosquito repellent device can be fixed to the user's clothes or belongings through the fixing part, and prevents the occurrence of skin troubles since the mosquito repellent component does not come into direct contact with the skin. 
   DESCRIPTION OF DRAWINGS - The drawing shows a conceptual diagram schematically representing the mosquito repellent device. 
     10- Mosquito repellent device
     100- First repellent discharge unit
     200- First repellent control unit
     300- Second repellent discharge unit
     400- Second repellent control unit
     500- Third repellent discharge unit
     600- Third repellent control unit","Status as of : 08.12.2022
Competitive impact : 0.056
Technology relevance : 0.995
Market coverage : 0.056
Current owners : KOREA NATIONAL PARK SERVICE
Patent rights : 
    Active + Granted : 
    Active + Not Granted : KR
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1""","The patent describes a mosquito repellent device using icaridin, lemongrass, and vanillin as active ingredients. This clearly falls under the category of insecticides."
2,DE202022104072,DE202022104072,WPI/2022-B5903A,"New substituted pyridine-based compound useful as antifungal agent for treating fungal infections caused by fungi i.e. Aspergillus, Candida albicans and Cryptococcus in human","NARAYANASAMY S S
PANUGANTI U
PURMA A R
REDDY G N K",DE202022104072 U1,20220908,,fungicide,,,"DE 202022104072 U1
   NOVELTY - Substituted pyridine-based compound (I), is new. 
   DETAILED DESCRIPTION - Substituted pyridine-based compound of formula (I), is new.
       R1  = H, amino or halo (F, Cl, Br or I); 
       R2  = H, 1-6C alkyl, amino or di-1-6C alkylamino; 
       R3  = pyridine ring substituted by halo, cyano, 1-6C alkyl, 1-6C alkoxy, 1-6C alkoxycarbonyl, 2-6C alkynyl, 2-6C alkenyl or 3-8C cycloalkyl; 
       R4  = H or halo;
       A  = pyridine ring, benzene ring, pyrrole ring, thiophene ring or furan ring, preferably benzene ring substituted by halo or 1-6C alkyl; 
       X1  = N or O;
       Y1  = N or O, where X1 is N, when Y1 is O, and X1 is O, when Y1 is N; and
       Z1  = single bond, O, S, methylene, ethylene, -NH-, -CH2 O-, -OCH2 -, -CH2 NH-, -NHCH2 -, -SCH2 - or -CH2 S-.
   ACTIVITY - Fungicide. Test details are described but no results given. 
   MECHANISM OF ACTION - Glycine transporter inhibitor; 5-Hydroxytryptamine receptor.
   USE - (I) is useful as antifungal agent for treating fungal infections caused by fungi i.e. Aspergillus , Candida albicans and Cryptococcus in human.
   ADVANTAGE - (I) has excellent physicochemical properties, water solubility, metabolic stability and antifungal activity; can be administered orally, intravenously or subcutaneously; and is safe.","Status as of : 08.12.2022
Competitive impact : 
Technology relevance : 
Market coverage : 
Current owners : NARAYANASAMY SIVA SUBRAMANIAN; PANUGANTI USHASREE; PURMA ARAVINDA REDDY; REDDY GODUMALA NAVEEN KUMAR
Patent rights : 
    Active + Granted : 
    Active + Not Granted : DE
    Not Active + Granted : 
    Not Active + Not Granted : 
","""3""","The patent text explicitly states that the compound (I) is a fungicide. It describes its activity as an antifungal agent and lists specific fungi it is effective against (Aspergillus, Candida albicans, and Cryptococcus)."
3,US20220279789,US20220279789,WPI/2022-B5644W,Fungicidal composition used to treat plant pathogen in soybean plant comprises mefentrifluconazole and metalaxyl,SUMITOMO CHEM CO LTD,US20220279789 A1,20220908,,fungicide,,,"US 20220279789 A1
   NOVELTY - Fungicidal composition comprises mefentrifluconazole and metalaxyl at a weight ratio of 1:0.1-1:10.
   ACTIVITY - Fungicide; Plant Protectant. The fungicidal activity of mefentrifluconazole was tested against Phakopsora pachyrhizi in soybean plant. The result showed that soybean treated with 500 g/hectare mefentrifluconazole exhibited fresh weight of 7.17 mg/plant. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful for: protecting determinate soybean from damage by a plant pathogen e.g. Ascomycota, Basidiomycota, Blasocladiomycota, Chytridiomycota, Mucoromycota and/or Olpidiomycota . 
   ADVANTAGE - The composition provides superior safety to plants.","Status as of : 08.12.2022
Competitive impact : 0.849
Technology relevance : 0.692
Market coverage : 1.227
Current owners : SUMITOMO CHEMICAL COMPANY LIMITED; Sumitomo Chemical (w/o Dongwoo Fine-Chem)
Patent rights : 
    Active + Granted : US
    Active + Not Granted : CA; JP
    Not Active + Granted : 
    Not Active + Not Granted : WO
","""3""",The patent text explicitly states that the composition is a fungicide and lists its activity against plant pathogens. It is also described as useful for protecting soybean from damage by fungi.
4,KR2441489,KR2441489,WPI/2022-B5885X,"Air dome used to produce multifunctional hypochlorous acid water, comprises e.g. electrolysis tank for producing hypochlorous acid water, mixing tank for mixing amino acid, buffer and bactericidal pH stabilizer, hypochlorous acid and buffer",ECOTECH CO LTD,KR2441489 B1,20220908,,herbicide,,,"KR 2441489 B1
   NOVELTY - Air dome comprises an electrolysis tank (100) for producing hypochlorous acid water, a mixing tank for mixing 1-4 wt.% amino acid, buffer and 0.1-2 wt.% bactericidal pH stabilizer, 95-98 wt.% hypochlorous acid, 0.02-0.2 wt.% buffer at 25° C; and a multifunctional hypochlorous acid water production device (10) for promoting plant growth, providing hypochlorous acid water for sterilization of the electrolysis tank or hypochlorous acid water for plant growth promotion of the mixing tank to the air dome. The electrolysis tank is provided with a diaphragm-free electrolysis tank having an electrode (110); an inlet line (130) connected to the electrolysis tank through which water containing an electrolyte is introduced; an outflow line through which hypochlorous acid water generated is connected to the electrolysis tank; a power supply unit for applying power to the electrode; and an electrolysis control unit. 
   USE - The air dome is useful to produce multifunctional hypochlorous acid water (claimed).
   ADVANTAGE - The air dome helps to create clean environment, improves exercise effect and records during exercise by creating comfortable environment for those who are active inside air dome, and promotes growth by reducing stress during plant growth by removing harmful bacteria that inhibit plant growth in plants grown inside air dome. 
   DESCRIPTION OF DRAWINGS - The drawing shows a schematic representation of the air dome.
     10- Multifunctional hypochlorous acid water production device 
     100- Electrolysis tank
     110- Electrode
     120- Diaphragm-free electrolysis tank
     130- Inlet line","Status as of : 08.12.2022
Competitive impact : 0.08
Technology relevance : 0.993
Market coverage : 0.081
Current owners : ECO-TECH COMPANY, INCORPORATED
Patent rights : 
    Active + Granted : KR
    Active + Not Granted : 
    Not Active + Granted : 
    Not Active + Not Granted : 
","""2"", ""3""","The patent describes a system for producing hypochlorous acid water, which has both herbicidal and fungicidal properties.  The text states that the system promotes plant growth by removing harmful bacteria that inhibit growth, indicating a fungicidal effect. Additionally, it mentions that the system can be used to sterilize the electrolysis tank, suggesting a potential for use as a herbicide."
5,US20220279782,US20220279782,WPI/2022-B5093K,"Immobilizing insects by spray or aerosol dispensing system having container with liquefied petroleum gas composition disposed in it, involves spraying pest control composition consisting of butane, propane, and isobutane",JOHNSON + SON INC S C,"US20220279782 A1
WO2022187327 A1","20220908
20220909",,insecticide,,,"US 20220279782 A1
   NOVELTY - Immobilizing insects by a spray dispensing system, involves spraying a pest control composition consisting of butane, propane, and isobutane, where the pest control composition is sprayed for least two seconds at a spray rate of 1.8-2.6 g/s and achieves a temperature of less than -20℃ at least 18 inches from an exit orifice of the dispensing system. 
   DETAILED DESCRIPTION - INDEPENDENT CLAIMS are included for: 1. an aerosol dispensing system (20) comprising a container (24) having a liquefied petroleum gas (LPG) composition disposed in it; and an overcap assembly (26) having an actuator (46) and an exit orifice, where overcap assembly is coupled to the container; and
    2. a composition consisting of 70-80 vol.% isobutane, 20-30 vol.% propane, and 0.3-20 vol.% butane.
   ACTIVITY - Pesticide.
   MECHANISM OF ACTION - None given.
   USE - Method for immobilizing insects by a spray or aerosol dispensing system (claimed).
    No biological data given.
   ADVANTAGE - The method sufficiently immobilize insects by freezing without substantial knock down or its dispersion. The composition is insecticide-free spray that is capable of immobilizing insects along a typical range of spraying distances without unnecessarily causing the insects to be blown away. The LPG composition in the system beneficially immobilize German cockroaches, ants, spiders, and stink bugs. 
   DESCRIPTION OF DRAWINGS - The drawing shows a exploded, partial cross- sectional view of a dispensing system containing a pest control composition.
     20- Aerosol dispensing system
     24- Container
     26- Overcap assembly
     30- Circular base
     46- Actuator
     48- Nozzle extension","Status as of : 08.12.2022
Competitive impact : 2.977
Technology relevance : 1.062
Market coverage : 2.803
Current owners : S. C. JOHNSON & SON, INC.
Patent rights : 
    Active + Granted : 
    Active + Not Granted : US; WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1""","The patent describes a system for immobilizing insects using a liquefied petroleum gas (LPG) composition.  While the mechanism isn't detailed, the intended use is clearly pest control, placing it within the insecticide category."
6,KR2440617,KR2440617,WPI/2022-B57913,"Diffuse smoke screen insecticide comprises mixture of smoke film component and insecticide component, citric acid, and cyclodextrin, useful in simultaneous inspection and quarantine of sewage pipes by putting it inside sewer pipe",SEUNG TOP CO LTD,KR2440617 B1,20220906,,insecticide,,,"KR 2440617 B1
   NOVELTY - Diffuse smoke screen insecticide comprises a mixture of a smoke film component and 5-15 pts. wt. insecticide component, and further comprises 5-20 pts. wt. citric acid, and 2-10 pts. wt. cyclodextrin. The smoke film comprises 15-30 wt.% palm oil or biodiesel, 25-35 wt.% glycerin, 30-50 wt.% water, 1-3 wt.% surfactant, and 3-4.5 wt.% fragrance. The insecticide comprises 25-35 wt.% permethrin, 10-40 wt.% tridecyl alcohol, 5-20 wt.% isoprime, 5-20 wt.% n-methyl pyrrolidone, 5-20 wt.% dibutylated hydroxytoluene, and 10-30 wt.% polyoxyethylene dodecyl monoether. 
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is also included for simultaneous inspection and quarantine of sewage pipes, comprising (a) blocking the sewage pipe with air filling inside the upstream sewer pipe in the inspection section of the sewage pipe, but installing an upstream side air packer having a water pipe that automatically opens and closes according to the flow of sewage; (b) blocking the sewage pipe with air filling inside the downstream side sewage pipe, installing the downstream side air packer having a water pipe that automatically opens and closes according to the flow of sewage; (c) installing the smoke film supply device on the upper part of the manhole installed in the inspection section of the sewage pipe; and (d) injecting the diffuse smoke screen insecticide into the smoke screen supply device and operating the smoke screen supply device to supply the smoke screen to the inspection section of the sewage pipe while simultaneously performing the stigma inspection and quarantine of the sewage pipe.
   ACTIVITY - Insecticide. Test details are described but no results given. 
   MECHANISM OF ACTION - None given.
   USE - The smoke screen insecticide is useful in simultaneous inspection and quarantine of sewage pipes by putting it inside sewer pipe (claimed), and cracks of sewage pipes.
   ADVANTAGE - The diffuse smoke screen insecticide has insecticidal control effect in sewage pipe, can be spreads evenly in sewer pipe, and prevents pests and their eggs.","Status as of : 08.12.2022
Competitive impact : 0.08
Technology relevance : 0.991
Market coverage : 0.081
Current owners : SEUNG TOP
Patent rights : 
    Active + Granted : KR
    Active + Not Granted : 
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1""",The patent clearly describes a product called a 'diffuse smoke screen insecticide' with a detailed composition listing insecticide components like permethrin. It also states the product is useful for 'insecticidal control effect in sewage pipe'.
7,KR2439956,KR2439956,WPI/2022-B5797S,"Preparing bio-pesticides by preparing soybean oil, natural emulsifier, purified water and plant extract, mixing soybean oil, purified water, and natural emulsifier, processing mixture into microemulsion, mixing plant extract with microemulsion, and formulating liquid pesticide",HANS FARM CO LTD,KR2439956 B1,20220905,,fungicide,,,"KR 2439956 B1
   NOVELTY - Method for preparing bio-pesticides involves (a) preparing soybean oil, natural emulsifier, purified water and plant extract, (b) setting a predetermined mixing ratio for the soybean oil, purified water and natural emulsifier, (c) obtaining a mixture by mixing the soybean oil, purified water, and natural emulsifier in a predetermined temperature range according to the set mixing ratio, (d) processing the obtained mixture into a microemulsion having a nano-sized particle size through a first nano- mixing process, (e) adding to and mixing the plant extract at room temperature in a predetermined ratio with the processed microemulsion, where the plant extract is designed so that several plant extracts are customized according to the target plant and control target using a database (DB) built in advance, and (f) formulating a liquid pesticide having a particle diameter of 20-50 nm by performing a secondary nano- mixing process on the mixture obtained by adding the plant extract. 
   ACTIVITY - Pesticide; Fungicide. No biological data given. 
   MECHANISM OF ACTION - None given.
   USE - The method is useful for preparing bio-pesticides against control target such as pests, pathogens, or fungi (all claimed). 
   ADVANTAGE - The method prepares bio-pesticides in nano-size without requiring expensive production facilities and high-level skill.","Status as of : 08.12.2022
Competitive impact : 0.08
Technology relevance : 0.995
Market coverage : 0.081
Current owners : HANSFARM
Patent rights : 
    Active + Granted : KR
    Active + Not Granted : 
    Not Active + Granted : 
    Not Active + Not Granted : 
","""3""",The patent explicitly states that the method is useful for preparing bio-pesticides against control targets such as \
8,KR2022122286,KR2022122286,WPI/2022-B3880F,"Composition useful in undersink type dual dispenser for household, comprises natural materials containing grapefruit seed extract",UNIV DONG EUI IND ACAD COOP FOUND,KR2022122286 A,20220902,,fungicide,,,"KR 2022122286 A
   NOVELTY - Composition comprises natural materials containing grapefruit seed extract. The composition further comprises glycine, sodium bicarbonate and purified water.
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is also included for undersink type dual dispenser
   USE - The composition is useful in undersink type dual dispenser for household (claimed).
   ADVANTAGE - The composition has an excellent antibacterial and sterilization effect against bacteria and fungi, and excellent antioxidant effect; and is non-toxic to the human body even when consumed excessively.","Status as of : 08.12.2022
Competitive impact : 0.063
Technology relevance : 1.12
Market coverage : 0.056
Current owners : DONG-EUI UNIVERSITY
Patent rights : 
    Active + Granted : 
    Active + Not Granted : KR
    Not Active + Granted : 
    Not Active + Not Granted : 
","""3""",The text states that the composition has an excellent antibacterial and sterilization effect against bacteria and fungi.
9,KR2022122094,KR2022122094,WPI/2022-B3871T,"Herbicide composition useful for controlling weeds in corn fields, preferably wild hulls or finger-grasses, comprises oryzaline and sulfentrazone",GUANGZHOU BAIYUN SHIJING XINGCHEN LTD,KR2022122094 A,20220902,,herbicide,,,"KR 2022122094 A
   NOVELTY - Herbicide composition comprises oryzaline and sulfentrazone in weight ratio of 8:1-1:1.
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is also included for herbicide comprising 2-96 wt.% herbicidal composition, and remaining amount of carriers and adjuvants.
   ACTIVITY - Herbicide. No biological data given. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful for controlling weeds in corn fields, preferably wild hulls or finger-grasses.
   ADVANTAGE - The composition has high efficiency and is economical.","Status as of : 08.12.2022
Competitive impact : 0.056
Technology relevance : 0.995
Market coverage : 0.056
Current owners : GUANGZHOU BAIYUN SHIJING XINGCHEN
Patent rights : 
    Active + Granted : 
    Active + Not Granted : KR
    Not Active + Granted : 
    Not Active + Not Granted : 
","""2""",The patent explicitly states that the invention is a 'herbicide composition' and describes its use for controlling weeds in corn fields.
10,KR2439303,KR2439303,WPI/2022-B38333,"Composition useful as control agent i.e. oil spray, emulsifiable concentrate, aqueous powder, fluid, granule, aerosol and fumigant for controlling bee mites, comprises derris extract, fir leaf extract and chamomile extract",BIOBEE CO LTD,KR2439303 B1,20220902,,insecticide,,,"KR 2439303 B1
   NOVELTY - Composition comprises derris extract, fir leaf extract and chamomile extract in a weight ratio of 10-20:0.5-3:0.5-3. 
   ACTIVITY - Acaricide; Insecticide. Test details are described but no results given.
   MECHANISM OF ACTION - None given.
   USE - The composition is useful as control agent (oil spray, emulsifiable concentrate, aqueous powder, fluid, granule, aerosol and fumigant) for controlling bee mites (all claimed). 
   ADVANTAGE - The composition improves survival rate of bees due to increased safety, and protects bees.","Status as of : 08.12.2022
Competitive impact : 0.08
Technology relevance : 0.995
Market coverage : 0.081
Current owners : BIOBEE
Patent rights : 
    Active + Granted : KR
    Active + Not Granted : 
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1""",The patent text explicitly states that the composition is an acaricide and insecticide. These terms fall under the category of insecticides.
